country_id,state_id,zip_code
1,1,36003
1,1,36006
1,1,36067
1,1,36066
1,1,36703
1,1,36701
1,1,36091
1,1,36051
1,1,36068
1,1,36008
1,1,36022
1,1,36749
1,1,36758
1,1,36550
1,1,36551
1,1,36527
1,1,36577
1,1,36559
1,1,36536
1,1,36576
1,1,36579
1,1,36502
1,1,36578
1,1,36533
1,1,36564
1,1,36561
1,1,36580
1,1,36535
1,1,36547
1,1,36549
1,1,36530
1,1,36562
1,1,36532
1,1,36526
1,1,36555
1,1,36511
1,1,36567
1,1,36574
1,1,36480
1,1,36507
1,1,36542
1,1,36017
1,1,36016
1,1,36311
1,1,36374
1,1,36048
1,1,36053
1,1,36317
1,1,36027
1,1,36072
1,1,35035
1,1,35034
1,1,36750
1,1,35115
1,1,35188
1,1,36793
1,1,35074
1,1,35042
1,1,35111
1,1,35184
1,1,36792
1,1,35456
1,1,35031
1,1,35121
1,1,35063
1,1,35016
1,1,35079
1,1,35097
1,1,35133
1,1,35957
1,1,35126
1,1,35049
1,1,35172
1,1,35952
1,1,35180
1,1,35146
1,1,35976
1,1,35980
1,1,35013
1,1,36830
1,1,36031
1,1,36089
1,1,36029
1,1,36081
1,1,36860
1,1,36053
1,1,36005
1,1,36052
1,1,36037
1,1,36033
1,1,36032
1,1,36456
1,1,36474
1,1,36030
1,1,36042
1,1,36071
1,1,36015
1,1,36206
1,1,36204
1,1,35096
1,1,36279
1,1,36205
1,1,36260
1,1,36271
1,1,36272
1,1,36201
1,1,36203
1,1,36207
1,1,36265
1,1,36202
1,1,36257
1,1,36253
1,1,36254
1,1,35905
1,1,36250
1,1,36277
1,1,36852
1,1,36855
1,1,36879
1,1,36274
1,1,36862
1,1,36863
1,1,36801
1,1,36854
1,1,36276
1,1,36850
1,1,35973
1,1,35959
1,1,35901
1,1,35984
1,1,36272
1,1,35967
1,1,35961
1,1,35903
1,1,36275
1,1,35960
1,1,35983
1,1,36006
1,1,35115
1,1,35040
1,1,36790
1,1,36758
1,1,36793
1,1,36750
1,1,36051
1,1,35046
1,1,35045
1,1,35171
1,1,36792
1,1,35085
1,1,36091
1,1,36908
1,1,36913
1,1,36919
1,1,36921
1,1,36904
1,1,36912
1,1,36910
1,1,36916
1,1,36922
1,1,36558
1,1,36915
1,1,36436
1,1,36751
1,1,36446
1,1,36524
1,1,36784
1,1,36451
1,1,36540
1,1,36482
1,1,36727
1,1,36782
1,1,36545
1,1,36251
1,1,36267
1,1,35082
1,1,35160
1,1,35072
1,1,35089
1,1,36266
1,1,36255
1,1,36256
1,1,36258
1,1,36276
1,1,36268
1,1,36273
1,1,36269
1,1,36207
1,1,36268
1,1,36258
1,1,36262
1,1,36261
1,1,36264
1,1,36272
1,1,36322
1,1,36453
1,1,36079
1,1,36351
1,1,36477
1,1,36346
1,1,36311
1,1,36010
1,1,36318
1,1,36034
1,1,36316
1,1,36009
1,1,36330
1,1,36323
1,1,36467
1,1,36360
1,1,35616
1,1,35654
1,1,35646
1,1,35653
1,1,35582
1,1,35674
1,1,35661
1,1,35672
1,1,35660
1,1,36471
1,1,36330
1,1,36426
1,1,36454
1,1,36460
1,1,36401
1,1,36442
1,1,36473
1,1,36502
1,1,36475
1,1,36456
1,1,36432
1,1,36474
1,1,36421
1,1,36033
1,1,35151
1,1,35150
1,1,36026
1,1,36080
1,1,35046
1,1,35089
1,1,35136
1,1,35072
1,1,35010
1,1,35183
1,1,36420
1,1,36421
1,1,36453
1,1,36483
1,1,36455
1,1,36476
1,1,36467
1,1,36474
1,1,36038
1,1,36401
1,1,36028
1,1,36477
1,1,36442
1,1,36456
1,1,36037
1,1,36035
